"Date","hour","temperature","kWh"
"5/25/2016",15,71,206.750199711517
"5/25/2016",16,73,206.898351565407
"5/25/2016",17,77,206.807886160051
"5/25/2016",18,83,206.515244164648
"5/25/2016",19,81,207.150320049246
"5/25/2016",20,79,99.2407348589427
"5/25/2016",21,77,99.5515395019462
"5/25/2016",22,74,99.9268661378627
"5/25/2016",23,73,100.185389397309
"5/26/2016",0,72,99.4487066074755
"5/26/2016",1,71,99.7077051478407
"5/26/2016",2,70,99.9682731497368
"5/26/2016",3,68,100.296494382781
"5/26/2016",4,67,100.561461856369
"5/26/2016",5,66,100.828142977134
"5/26/2016",6,66,101.026954282331
"5/26/2016",7,68,211.664878840692
"5/26/2016",8,71,211.669480827178
"5/26/2016",9,73,211.821157710878
"5/26/2016",10,73,212.238823251363
"5/26/2016",11,73,212.657312338021
"5/26/2016",12,75,212.816907879106
"5/26/2016",13,75,213.236536823704
"5/26/2016",14,76,213.529333354382
"5/26/2016",15,76,213.950367048036
"5/26/2016",16,75,214.500394692157
"5/26/2016",17,74,215.053561673186
"5/26/2016",18,74,215.477600815641
"5/26/2016",19,72,216.169572425088
"5/26/2016",20,70,103.576454539752
"5/26/2016",21,69,103.848089244456
"5/26/2016",22,67,104.191053363661
"5/26/2016",23,66,104.46735987683
"5/27/2016",0,65,103.706089170916
"5/27/2016",1,64,103.983297562725
"5/27/2016",2,63,104.262395688982
"5/27/2016",3,62,104.543431641963
"5/27/2016",4,62,104.749568693392
"5/27/2016",5,61,105.033150923225
"5/27/2016",6,61,105.240253595231
"5/27/2016",7,64,220.311728577856
"5/27/2016",8,66,220.439833522917
"5/27/2016",9,69,220.431898134221
"5/27/2016",10,71,220.581952596326
"5/27/2016",11,73,220.740015927134
"5/27/2016",12,74,221.039520557423
"5/27/2016",13,76,221.209004473359
"5/27/2016",14,77,221.514478739632
"5/27/2016",15,77,221.951257414095
"5/27/2016",16,77,222.3888973217
"5/27/2016",17,77,222.827400160611
"5/27/2016",18,77,223.266767632345
"5/27/2016",19,75,223.972820721356
"5/27/2016",20,73,107.309806805418
"5/27/2016",21,71,107.656263810799
"5/27/2016",22,69,108.007708121687
"5/27/2016",23,68,108.29199049924
"5/28/2016",0,67,68.6045812908612
"5/28/2016",1,67,68.7398546971361
"5/28/2016",2,66,68.9221474080162
"5/28/2016",3,65,69.1056394916992
"5/28/2016",4,63,69.3396174321411
"5/28/2016",5,63,69.4763401708176
"5/28/2016",6,64,69.563880833419
"5/28/2016",7,67,145.640661197356
"5/28/2016",8,71,145.546495026382
"5/28/2016",9,75,145.473256401125
"5/28/2016",10,77,145.58710471095
"5/28/2016",11,80,145.622799570102
"5/28/2016",12,81,145.828168818361
"5/28/2016",13,82,146.034832138828
"5/28/2016",14,81,146.40381904822
"5/28/2016",15,82,146.611298162981
"5/28/2016",16,81,146.981741631836
"5/28/2016",17,79,147.437797289456
"5/28/2016",18,77,147.899546711374
"5/28/2016",19,73,148.54832572367
"5/28/2016",20,70,71.2204228337893
"5/28/2016",21,75,71.1390365458941
"5/28/2016",22,74,71.3224943252417
"5/28/2016",23,73,71.5070145090266
"5/29/2016",0,71,53.8632753780414
"5/29/2016",1,71,53.9694821152069
"5/29/2016",2,70,54.1105215674466
"5/29/2016",3,69,54.2524292588483
"5/29/2016",4,67,54.431600938856
"5/29/2016",5,66,54.5759492814064
"5/29/2016",6,65,54.721247346386
"5/29/2016",7,66,114.72375775367
"5/29/2016",8,67,114.871993171138
"5/29/2016",9,67,115.098495913512
"5/29/2016",10,67,115.325445270339
"5/29/2016",11,66,115.631279318787
"5/29/2016",12,66,115.859279209335
"5/29/2016",13,66,116.087728666387
"5/29/2016",14,65,116.396790122307
"5/29/2016",15,66,116.545979827546
"5/29/2016",16,65,116.856261289858
"5/29/2016",17,64,117.168620347305
"5/29/2016",18,64,117.399651542083
"5/29/2016",19,63,117.714760059861
"5/29/2016",20,62,56.3714092230889
"5/29/2016",21,61,56.5240201610212
"5/29/2016",22,60,56.6777316637321
"5/29/2016",23,60,56.7894879003831
"5/30/2016",0,60,88.2775726050909
"5/30/2016",1,59,88.51874444486
"5/30/2016",2,59,88.6932842766748
"5/30/2016",3,59,88.8681682633132
"5/30/2016",4,59,89.0433970833743
"5/30/2016",5,59,89.218971416795
"5/30/2016",6,59,89.394891944853
"5/30/2016",7,61,187.264726296656
"5/30/2016",8,64,187.227927660032
"5/30/2016",9,66,187.336795324687
"5/30/2016",10,66,187.706182994539
"5/30/2016",11,67,187.948719544442
"5/30/2016",12,68,188.19346142326
"5/30/2016",13,69,188.440361111805
"5/30/2016",14,71,188.568637995798
"5/30/2016",15,72,188.821249039117
"5/30/2016",16,72,189.193563730848
"5/30/2016",17,72,189.566612546679
"5/30/2016",18,72,189.940396934145
"5/30/2016",19,70,190.556997165735
"5/30/2016",20,70,91.1883400929943
"5/30/2016",21,68,91.4877345756793
"5/30/2016",22,67,91.7294306991979
"5/30/2016",23,66,91.9726899650681
"5/31/2016",0,66,91.239590671874
"5/31/2016",1,65,91.4824986954394
"5/31/2016",2,65,91.6628824100575
"5/31/2016",3,64,91.9078990761434
"5/31/2016",4,64,92.0891215883672
"5/31/2016",5,64,92.2707014322162
"5/31/2016",6,64,92.4526393122709
"5/31/2016",7,66,193.692521152344
"5/31/2016",8,69,193.685548612862
"5/31/2016",9,71,193.817396049919
"5/31/2016",10,71,194.199562063699
"5/31/2016",11,72,194.459716427152
"5/31/2016",12,74,194.602403259969
"5/31/2016",13,75,194.868049750645
"5/31/2016",14,76,195.13562438751
"5/31/2016",15,76,195.520389662653
"5/31/2016",16,78,195.676423344429
"5/31/2016",17,78,196.062254958228
"5/31/2016",18,76,196.679243518559
"5/31/2016",19,74,197.304341343709
"5/31/2016",20,72,94.5339906477235
"5/31/2016",21,70,94.8408747096049
"5/31/2016",22,70,95.0278804158516
"5/31/2016",23,69,95.2770960348843
