"Date","month","day","year","hour","DayofWeek","weekdays","peakhour","temperature"
"5/25/2016","5",25,2016,15,3,1,1,71
"5/25/2016","5",25,2016,16,3,1,1,73
"5/25/2016","5",25,2016,17,3,1,1,77
"5/25/2016","5",25,2016,18,3,1,1,83
"5/25/2016","5",25,2016,19,3,1,1,81
"5/25/2016","5",25,2016,20,3,1,0,79
"5/25/2016","5",25,2016,21,3,1,0,77
"5/25/2016","5",25,2016,22,3,1,0,74
"5/25/2016","5",25,2016,23,3,1,0,73
"5/26/2016","5",26,2016,0,4,1,0,72
"5/26/2016","5",26,2016,1,4,1,0,71
"5/26/2016","5",26,2016,2,4,1,0,70
"5/26/2016","5",26,2016,3,4,1,0,68
"5/26/2016","5",26,2016,4,4,1,0,67
"5/26/2016","5",26,2016,5,4,1,0,66
"5/26/2016","5",26,2016,6,4,1,0,66
"5/26/2016","5",26,2016,7,4,1,1,68
"5/26/2016","5",26,2016,8,4,1,1,71
"5/26/2016","5",26,2016,9,4,1,1,73
"5/26/2016","5",26,2016,10,4,1,1,73
"5/26/2016","5",26,2016,11,4,1,1,73
"5/26/2016","5",26,2016,12,4,1,1,75
"5/26/2016","5",26,2016,13,4,1,1,75
"5/26/2016","5",26,2016,14,4,1,1,76
"5/26/2016","5",26,2016,15,4,1,1,76
"5/26/2016","5",26,2016,16,4,1,1,75
"5/26/2016","5",26,2016,17,4,1,1,74
"5/26/2016","5",26,2016,18,4,1,1,74
"5/26/2016","5",26,2016,19,4,1,1,72
"5/26/2016","5",26,2016,20,4,1,0,70
"5/26/2016","5",26,2016,21,4,1,0,69
"5/26/2016","5",26,2016,22,4,1,0,67
"5/26/2016","5",26,2016,23,4,1,0,66
"5/27/2016","5",27,2016,0,5,1,0,65
"5/27/2016","5",27,2016,1,5,1,0,64
"5/27/2016","5",27,2016,2,5,1,0,63
"5/27/2016","5",27,2016,3,5,1,0,62
"5/27/2016","5",27,2016,4,5,1,0,62
"5/27/2016","5",27,2016,5,5,1,0,61
"5/27/2016","5",27,2016,6,5,1,0,61
"5/27/2016","5",27,2016,7,5,1,1,64
"5/27/2016","5",27,2016,8,5,1,1,66
"5/27/2016","5",27,2016,9,5,1,1,69
"5/27/2016","5",27,2016,10,5,1,1,71
"5/27/2016","5",27,2016,11,5,1,1,73
"5/27/2016","5",27,2016,12,5,1,1,74
"5/27/2016","5",27,2016,13,5,1,1,76
"5/27/2016","5",27,2016,14,5,1,1,77
"5/27/2016","5",27,2016,15,5,1,1,77
"5/27/2016","5",27,2016,16,5,1,1,77
"5/27/2016","5",27,2016,17,5,1,1,77
"5/27/2016","5",27,2016,18,5,1,1,77
"5/27/2016","5",27,2016,19,5,1,1,75
"5/27/2016","5",27,2016,20,5,1,0,73
"5/27/2016","5",27,2016,21,5,1,0,71
"5/27/2016","5",27,2016,22,5,1,0,69
"5/27/2016","5",27,2016,23,5,1,0,68
"5/28/2016","5",28,2016,0,6,0,0,67
"5/28/2016","5",28,2016,1,6,0,0,67
"5/28/2016","5",28,2016,2,6,0,0,66
"5/28/2016","5",28,2016,3,6,0,0,65
"5/28/2016","5",28,2016,4,6,0,0,63
"5/28/2016","5",28,2016,5,6,0,0,63
"5/28/2016","5",28,2016,6,6,0,0,64
"5/28/2016","5",28,2016,7,6,0,1,67
"5/28/2016","5",28,2016,8,6,0,1,71
"5/28/2016","5",28,2016,9,6,0,1,75
"5/28/2016","5",28,2016,10,6,0,1,77
"5/28/2016","5",28,2016,11,6,0,1,80
