"Date","hour","temperature","kWh"
"12/1/2014",0,51.98,98.2238381418889
"12/1/2014",1,51.98,97.4875729672022
"12/1/2014",2,51.08,95.9580936590158
"12/1/2014",3,51.08,95.2388120271129
"12/1/2014",4,51.08,94.5249219786218
"12/1/2014",5,51.08,93.8163830993701
"12/1/2014",6,50,92.17355965851
"12/1/2014",7,53.06,163.59892940452
"12/1/2014",8,55.94,166.497340902338
"12/1/2014",9,60.08,170.944731886209
"12/1/2014",10,60.08,169.663366229308
"12/1/2014",11,62.06,171.00296705714
"12/1/2014",12,62.96,170.884879670222
"12/1/2014",13,60.98,167.051301842532
"12/1/2014",14,57.92,161.797110707385
"12/1/2014",15,55.04,156.743928122214
"12/1/2014",16,53.06,152.887394511345
"12/1/2014",17,51.08,149.027157204741
"12/1/2014",18,48.92,144.907952521936
"12/1/2014",19,48.02,142.559868354978
"12/1/2014",20,46.94,80.5086653538086
"12/1/2014",21,42.98,76.6317907315114
"12/1/2014",22,41,74.3738673325087
"12/1/2014",23,39.02,72.1025286509622
"12/2/2014",0,37.94,86.0618052432663
"12/2/2014",1,37.04,84.4489961664183
"12/2/2014",2,35.96,82.6471073969267
"12/2/2014",3,35.06,81.0467783760749
"12/2/2014",4,35.06,80.4392688186429
"12/2/2014",5,33.98,78.6595373229861
"12/2/2014",6,33.98,78.0699220210038
"12/2/2014",7,33.08,133.009218575549
"12/2/2014",8,33.08,132.012209525586
"12/2/2014",9,33.98,132.702545883798
"12/2/2014",10,35.06,133.678233404919
"12/2/2014",11,37.04,136.180996242222
"12/2/2014",12,37.04,135.160212215818
"12/2/2014",13,37.04,134.147079771187
"12/2/2014",14,37.04,133.141541553684
"12/2/2014",15,37.22,132.447922958602
"12/2/2014",16,35.96,129.32399306968
"12/2/2014",17,35.96,128.354607692873
"12/2/2014",18,36.68,128.59673330267
"12/2/2014",19,37.04,128.225786375086
"12/2/2014",20,37.67,73.7879679237109
"12/2/2014",21,39.02,74.4689591138438
"12/2/2014",22,39.32,74.179904257374
"12/2/2014",23,41,75.1003959267558
"12/3/2014",0,42.89,92.806075190516
"12/3/2014",1,43.82,93.0529764614234
"12/3/2014",2,44.96,93.4880827741968
"12/3/2014",3,44.78,92.610826821775
"12/3/2014",4,45.14,92.2665996774645
"12/3/2014",5,45.23,91.6615962856955
"12/3/2014",6,37.58,83.3161146421407
"12/3/2014",7,37.22,143.111914544293
"12/3/2014",8,37.94,143.336651564652
"12/3/2014",9,39.02,144.17000923462
"12/3/2014",10,40.1,144.955479534314
"12/3/2014",11,44.06,150.445113613722
"12/3/2014",12,46.31,152.888959016493
"12/3/2014",13,50,157.365783676498
"12/3/2014",14,51.08,157.778328423056
"12/3/2014",15,51.44,157.118478424284
"12/3/2014",16,50,153.85350088955
"12/3/2014",17,50,152.700247495553
"12/3/2014",18,50,151.555638645768
"12/3/2014",19,49.46,149.646411393804
"12/3/2014",20,48.02,84.2384207022799
"12/3/2014",21,42.98,79.3209636878515
"12/3/2014",22,42.08,77.9396528160625
"12/3/2014",23,39.92,75.4448446617383
"12/4/2014",0,39.02,90.2765123593506
"12/4/2014",1,37.94,88.4141584027427
"12/4/2014",2,37.94,87.7514245184574
"12/4/2014",3,37.04,86.1069517634452
"12/4/2014",4,37.04,85.4615122135238
"12/4/2014",5,33.98,81.4198682314508
"12/4/2014",6,33.98,80.8095620711498
"12/4/2014",7,35.06,141.528085275079
"12/4/2014",8,37.94,145.829960673061
"12/4/2014",9,39.92,148.273826436458
"12/4/2014",10,41,149.038686741846
"12/4/2014",11,42.08,149.758150396491
"12/4/2014",12,42.98,150.135950808658
"12/4/2014",13,42.98,149.010563386012
"12/4/2014",14,42.08,146.415664110374
"12/4/2014",15,39.92,141.728974093863
"12/4/2014",16,37.04,135.755459705899
"12/4/2014",17,35.96,132.858844596832
"12/4/2014",18,33.98,128.365845202834
"12/4/2014",19,33.08,125.790848308342
"12/4/2014",20,32,70.6873008822803
"12/4/2014",21,30.92,69.0235473486957
"12/4/2014",22,30.02,67.5524522632185
"12/4/2014",23,30.02,67.0460933282901
"12/5/2014",0,28.94,79.7015698988835
"12/5/2014",1,28.04,77.9269200414063
"12/5/2014",2,28.04,77.3427962840531
"12/5/2014",3,26.96,75.3453556577185
"12/5/2014",4,26.96,74.7805827625173
"12/5/2014",5,26.96,74.2200432858244
"12/5/2014",6,26.06,72.4862105476786
"12/5/2014",7,26.96,127.111356824339
"12/5/2014",8,30.02,132.76269077287
"12/5/2014",9,32,135.823025304378
"12/5/2014",10,35.96,142.479856464231
"12/5/2014",11,37.94,145.055211481712
"12/5/2014",12,42.08,151.221077932559
"12/5/2014",13,42.08,150.087556625852
"12/5/2014",14,41,147.135663161969
"12/5/2014",15,39.92,144.194318010972
"12/5/2014",16,39.92,143.11346781465
"12/5/2014",17,39.92,142.040719443441
"12/5/2014",18,41,142.77342669638
"12/5/2014",19,41,141.703227201677
"12/5/2014",20,41,80.8935070108748
"12/5/2014",21,41,80.2871463432704
"12/5/2014",22,39.92,78.6821499507632
"12/5/2014",23,39.56,77.7573393117751
"12/6/2014",0,39.74,57.6097755218204
"12/6/2014",1,40.1,57.4231888799297
"12/6/2014",2,42.08,58.3114221248433
"12/6/2014",3,42.86,58.3810077177224
"12/6/2014",4,44.42,58.9349241072375
"12/6/2014",5,44.78,58.7176687414825
"12/6/2014",6,44.78,58.2775334805218
"12/6/2014",7,44.72,100.497579158371
"12/6/2014",8,41,95.7165688673275
"12/6/2014",9,39.14,92.9287628660747
"12/6/2014",10,37.94,90.8791586677385
"12/6/2014",11,39.02,91.4075290676976
"12/6/2014",12,39.02,90.7223575082284
"12/6/2014",13,39.56,90.6315830398053
"12/6/2014",14,39.92,90.3397966308684
"12/6/2014",15,41,90.8058082399324
"12/6/2014",16,41,90.1251470528816
"12/6/2014",17,41,89.4495879585331
"12/6/2014",18,39.02,86.7178447204105
"12/6/2014",19,39.02,86.0678260457248
"12/6/2014",20,39.02,49.1331667396083
"12/6/2014",21,39.02,48.7648748842219
"12/6/2014",22,37.94,47.7588827904798
"12/6/2014",23,37.94,47.4008922777309
"12/7/2014",0,37.22,49.8756340793389
"12/7/2014",1,35.78,48.5834186249342
"12/7/2014",2,37.22,49.1307219663679
"12/7/2014",3,37.22,48.762448436486
"12/7/2014",4,35.96,47.6123324760013
"12/7/2014",5,35.06,46.6903958249599
