"Account","Date","kWh","month","day","year","hour","DayofWeek","weekdays","peakhour","temperature"
"999999999","1/1/2014"," 78.40500"," 1"," 1","2014"," 0","3","1","0","23.0"
"999999999","1/1/2014"," 76.42500"," 1"," 1","2014"," 1","3","1","0","21.9"
"999999999","1/1/2014"," 78.01500"," 1"," 1","2014"," 2","3","1","0","21.9"
"999999999","1/1/2014"," 78.12000"," 1"," 1","2014"," 3","3","1","0","21.9"
"999999999","1/1/2014"," 77.53500"," 1"," 1","2014"," 4","3","1","0","21.0"
"999999999","1/1/2014","104.10000"," 1"," 1","2014"," 5","3","1","0","21.0"
"999999999","1/1/2014","158.26500"," 1"," 1","2014"," 6","3","1","0","21.0"
"999999999","1/1/2014","249.16500"," 1"," 1","2014"," 7","3","1","1","19.9"
"999999999","1/1/2014","240.52499"," 1"," 1","2014"," 8","3","1","1","23.0"
"999999999","1/1/2014","224.06999"," 1"," 1","2014"," 9","3","1","1","24.1"
"999999999","1/1/2014","223.39499"," 1"," 1","2014","10","3","1","1","26.1"
"999999999","1/1/2014","215.04000"," 1"," 1","2014","11","3","1","1","26.1"
"999999999","1/1/2014","210.67500"," 1"," 1","2014","12","3","1","1","27.0"
"999999999","1/1/2014","196.05000"," 1"," 1","2014","13","3","1","1","28.0"
"999999999","1/1/2014","196.55999"," 1"," 1","2014","14","3","1","1","27.0"
"999999999","1/1/2014","151.83000"," 1"," 1","2014","15","3","1","1","27.0"
"999999999","1/1/2014","103.74000"," 1"," 1","2014","16","3","1","1","26.1"
"999999999","1/1/2014"," 99.58500"," 1"," 1","2014","17","3","1","1","25.0"
"999999999","1/1/2014"," 97.59000"," 1"," 1","2014","18","3","1","1","24.1"
"999999999","1/1/2014"," 91.47000"," 1"," 1","2014","19","3","1","1","24.1"
"999999999","1/1/2014"," 93.60000"," 1"," 1","2014","20","3","1","0","23.0"
"999999999","1/1/2014"," 79.35000"," 1"," 1","2014","21","3","1","0","21.9"
"999999999","1/1/2014"," 76.44000"," 1"," 1","2014","22","3","1","0","23.0"
"999999999","1/1/2014"," 78.97500"," 1"," 1","2014","23","3","1","0","23.0"
"999999999","1/2/2014"," 78.66000"," 1"," 2","2014"," 0","4","1","0","21.0"
"999999999","1/2/2014"," 77.38500"," 1"," 2","2014"," 1","4","1","0","19.9"
"999999999","1/2/2014"," 79.48500"," 1"," 2","2014"," 2","4","1","0","19.0"
"999999999","1/2/2014"," 83.68500"," 1"," 2","2014"," 3","4","1","0","19.0"
"999999999","1/2/2014","162.19500"," 1"," 2","2014"," 4","4","1","0","19.0"
"999999999","1/2/2014","170.47500"," 1"," 2","2014"," 5","4","1","0","19.0"
"999999999","1/2/2014","205.87500"," 1"," 2","2014"," 6","4","1","0","19.0"
"999999999","1/2/2014","264.04500"," 1"," 2","2014"," 7","4","1","1","19.0"
"999999999","1/2/2014","263.53499"," 1"," 2","2014"," 8","4","1","1","19.9"
"999999999","1/2/2014","269.01000"," 1"," 2","2014"," 9","4","1","1","24.1"
"999999999","1/2/2014"," 80.82000"," 1"," 2","2014","10","4","1","1","25.0"
"999999999","1/2/2014"," 33.45000"," 1"," 2","2014","11","4","1","1","24.1"
"999999999","1/2/2014"," 24.82500"," 1"," 2","2014","12","4","1","1","24.1"
"999999999","1/2/2014"," 28.99500"," 1"," 2","2014","13","4","1","1","26.1"
"999999999","1/2/2014"," 20.77500"," 1"," 2","2014","14","4","1","1","19.9"
"999999999","1/2/2014","  6.00000"," 1"," 2","2014","15","4","1","1","12.0"
"999999999","1/2/2014","  6.00000"," 1"," 2","2014","16","4","1","1","12.0"
"999999999","1/2/2014","  6.00000"," 1"," 2","2014","17","4","1","1","10.0"
"999999999","1/2/2014","  6.00000"," 1"," 2","2014","18","4","1","1"," 8.1"
"999999999","1/2/2014","  6.00000"," 1"," 2","2014","19","4","1","1"," 6.1"
"999999999","1/2/2014","  6.00000"," 1"," 2","2014","20","4","1","0"," 6.1"
"999999999","1/2/2014","  6.00000"," 1"," 2","2014","21","4","1","0"," 3.9"
"999999999","1/2/2014","  6.00000"," 1"," 2","2014","22","4","1","0"," 3.0"
"999999999","1/2/2014","  6.00000"," 1"," 2","2014","23","4","1","0"," 1.9"
"999999999","1/3/2014","  6.00000"," 1"," 3","2014"," 0","5","1","0"," 1.9"
"999999999","1/3/2014","  6.00000"," 1"," 3","2014"," 1","5","1","0"," 1.9"
"999999999","1/3/2014","  6.00000"," 1"," 3","2014"," 2","5","1","0"," 1.9"
"999999999","1/3/2014","  6.00000"," 1"," 3","2014"," 3","5","1","0"," 1.9"
"999999999","1/3/2014","  6.00000"," 1"," 3","2014"," 4","5","1","0"," 1.9"
"999999999","1/3/2014","  6.00000"," 1"," 3","2014"," 5","5","1","0"," 3.0"
"999999999","1/3/2014","  6.97500"," 1"," 3","2014"," 6","5","1","0"," 3.0"
"999999999","1/3/2014"," 50.79000"," 1"," 3","2014"," 7","5","1","1"," 3.9"
"999999999","1/3/2014"," 51.94500"," 1"," 3","2014"," 8","5","1","1"," 5.0"
"999999999","1/3/2014"," 40.27500"," 1"," 3","2014"," 9","5","1","1"," 6.1"
"999999999","1/3/2014"," 41.10000"," 1"," 3","2014","10","5","1","1"," 9.0"
"999999999","1/3/2014"," 40.99500"," 1"," 3","2014","11","5","1","1","10.9"
"999999999","1/3/2014"," 40.09500"," 1"," 3","2014","12","5","1","1","12.0"
"999999999","1/3/2014"," 39.06000"," 1"," 3","2014","13","5","1","1","14.0"
"999999999","1/3/2014"," 37.78500"," 1"," 3","2014","14","5","1","1","14.0"
"999999999","1/3/2014"," 20.29500"," 1"," 3","2014","15","5","1","1","12.9"
"999999999","1/3/2014"," 20.29500"," 1"," 3","2014","16","5","1","1","10.9"
"999999999","1/3/2014"," 20.29500"," 1"," 3","2014","17","5","1","1"," 9.0"
"999999999","1/3/2014"," 20.29500"," 1"," 3","2014","18","5","1","1"," 7.0"
"999999999","1/3/2014"," 20.29500"," 1"," 3","2014","19","5","1","1"," 6.1"
"999999999","1/3/2014"," 20.29500"," 1"," 3","2014","20","5","1","0"," 5.0"
"999999999","1/3/2014"," 20.29500"," 1"," 3","2014","21","5","1","0"," 3.9"
"999999999","1/3/2014"," 20.29500"," 1"," 3","2014","22","5","1","0"," 3.9"
"999999999","1/3/2014"," 20.29500"," 1"," 3","2014","23","5","1","0"," 3.9"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014"," 0","6","0","0"," 3.9"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014"," 1","6","0","0"," 3.9"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014"," 2","6","0","0"," 3.0"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014"," 3","6","0","0"," 3.9"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014"," 4","6","0","0"," 3.0"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014"," 5","6","0","0"," 1.9"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014"," 6","6","0","0"," 1.9"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014"," 7","6","0","1"," 3.0"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014"," 8","6","0","1"," 7.0"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014"," 9","6","0","1","10.0"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014","10","6","0","1","14.0"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014","11","6","0","1","19.0"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014","12","6","0","1","21.0"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014","13","6","0","1","23.0"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014","14","6","0","1","24.1"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014","15","6","0","1","25.0"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014","16","6","0","1","26.1"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014","17","6","0","1","26.1"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014","18","6","0","1","27.0"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014","19","6","0","1","27.0"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014","20","6","0","0","26.1"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014","21","6","0","0","27.0"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014","22","6","0","0","27.0"
"999999999","1/4/2014"," 20.29500"," 1"," 4","2014","23","6","0","0","27.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014"," 0","0","0","0","27.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014"," 1","0","0","0","26.1"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014"," 2","0","0","0","25.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014"," 3","0","0","0","25.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014"," 4","0","0","0","26.1"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014"," 5","0","0","0","25.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014"," 6","0","0","0","25.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014"," 7","0","0","1","24.1"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014"," 8","0","0","1","27.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014"," 9","0","0","1","27.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014","10","0","0","1","30.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014","11","0","0","1","34.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014","12","0","0","1","36.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014","13","0","0","1","36.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014","14","0","0","1","36.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014","15","0","0","1","35.1"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014","16","0","0","1","35.1"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014","17","0","0","1","36.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014","18","0","0","1","34.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014","19","0","0","1","36.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014","20","0","0","0","36.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014","21","0","0","0","37.0"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014","22","0","0","0","37.9"
"999999999","1/5/2014"," 20.29500"," 1"," 5","2014","23","0","0","0","37.0"
"999999999","1/6/2014"," 20.29500"," 1"," 6","2014"," 0","1","1","0","39.0"
"999999999","1/6/2014"," 20.29500"," 1"," 6","2014"," 1","1","1","0","39.0"
"999999999","1/6/2014"," 20.29500"," 1"," 6","2014"," 2","1","1","0","43.0"
"999999999","1/6/2014"," 20.29500"," 1"," 6","2014"," 3","1","1","0","43.0"
"999999999","1/6/2014"," 20.29500"," 1"," 6","2014"," 4","1","1","0","44.1"
"999999999","1/6/2014","  0.21000"," 1"," 6","2014"," 5","1","1","0","45.0"
"999999999","1/6/2014","  1.35000"," 1"," 6","2014"," 6","1","1","0","46.9"
"999999999","1/6/2014"," 51.07500"," 1"," 6","2014"," 7","1","1","1","48.0"
"999999999","1/6/2014"," 90.76500"," 1"," 6","2014"," 8","1","1","1","48.0"
"999999999","1/6/2014"," 95.61000"," 1"," 6","2014"," 9","1","1","1","51.1"
"999999999","1/6/2014"," 89.89500"," 1"," 6","2014","10","1","1","1","52.0"
"999999999","1/6/2014"," 82.00500"," 1"," 6","2014","11","1","1","1","55.9"
"999999999","1/6/2014"," 75.51000"," 1"," 6","2014","12","1","1","1","55.9"
"999999999","1/6/2014"," 64.12500"," 1"," 6","2014","13","1","1","1","54.0"
"999999999","1/6/2014"," 51.21000"," 1"," 6","2014","14","1","1","1","53.1"
"999999999","1/6/2014"," 23.55000"," 1"," 6","2014","15","1","1","1","48.0"
"999999999","1/6/2014","  0.15000"," 1"," 6","2014","16","1","1","1","45.0"
"999999999","1/6/2014","  0.15000"," 1"," 6","2014","17","1","1","1","37.9"
"999999999","1/6/2014","  0.15000"," 1"," 6","2014","18","1","1","1","37.0"
"999999999","1/6/2014","  0.15000"," 1"," 6","2014","19","1","1","1","35.1"
"999999999","1/6/2014","  0.15000"," 1"," 6","2014","20","1","1","0","33.1"
"999999999","1/6/2014","  0.15000"," 1"," 6","2014","21","1","1","0","32.0"
"999999999","1/6/2014","  0.15000"," 1"," 6","2014","22","1","1","0","30.9"
"999999999","1/6/2014","  0.15000"," 1"," 6","2014","23","1","1","0","28.9"
"999999999","1/7/2014","  0.15000"," 1"," 7","2014"," 0","2","1","0","28.0"
"999999999","1/7/2014","  0.15000"," 1"," 7","2014"," 1","2","1","0","27.0"
"999999999","1/7/2014","  0.15000"," 1"," 7","2014"," 2","2","1","0","26.1"
"999999999","1/7/2014","  0.15000"," 1"," 7","2014"," 3","2","1","0","19.9"
"999999999","1/7/2014","  0.15000"," 1"," 7","2014"," 4","2","1","0","17.1"
"999999999","1/7/2014","  0.15000"," 1"," 7","2014"," 5","2","1","0","15.1"
"999999999","1/7/2014","  5.40000"," 1"," 7","2014"," 6","2","1","0","12.9"
"999999999","1/7/2014"," 71.97000"," 1"," 7","2014"," 7","2","1","1","12.0"
"999999999","1/7/2014","105.06000"," 1"," 7","2014"," 8","2","1","1","12.9"
"999999999","1/7/2014"," 75.42000"," 1"," 7","2014"," 9","2","1","1","14.0"
"999999999","1/7/2014","109.43999"," 1"," 7","2014","10","2","1","1","15.1"
"999999999","1/7/2014"," 94.42500"," 1"," 7","2014","11","2","1","1","15.1"
"999999999","1/7/2014"," 87.21000"," 1"," 7","2014","12","2","1","1","16.0"
"999999999","1/7/2014"," 82.29000"," 1"," 7","2014","13","2","1","1","15.1"
"999999999","1/7/2014"," 79.59000"," 1"," 7","2014","14","2","1","1","15.1"
"999999999","1/7/2014"," 40.05000"," 1"," 7","2014","15","2","1","1","12.9"
"999999999","1/7/2014"," 40.05000"," 1"," 7","2014","16","2","1","1","12.0"
"999999999","1/7/2014"," 40.05000"," 1"," 7","2014","17","2","1","1","10.9"
"999999999","1/7/2014"," 40.05000"," 1"," 7","2014","18","2","1","1","10.0"
"999999999","1/7/2014"," 40.05000"," 1"," 7","2014","19","2","1","1","10.0"
"999999999","1/7/2014"," 40.05000"," 1"," 7","2014","20","2","1","0","10.0"
"999999999","1/7/2014"," 40.05000"," 1"," 7","2014","21","2","1","0","10.0"
"999999999","1/7/2014"," 40.05000"," 1"," 7","2014","22","2","1","0","10.0"
"999999999","1/7/2014"," 40.05000"," 1"," 7","2014","23","2","1","0","10.0"
"999999999","1/8/2014"," 40.05000"," 1"," 8","2014"," 0","3","1","0"," 9.0"
"999999999","1/8/2014"," 40.05000"," 1"," 8","2014"," 1","3","1","0"," 8.1"
"999999999","1/8/2014"," 40.05000"," 1"," 8","2014"," 2","3","1","0"," 8.1"
"999999999","1/8/2014"," 40.05000"," 1"," 8","2014"," 3","3","1","0"," 8.1"
"999999999","1/8/2014"," 40.05000"," 1"," 8","2014"," 4","3","1","0"," 8.1"
"999999999","1/8/2014"," 40.05000"," 1"," 8","2014"," 5","3","1","0"," 8.1"
"999999999","1/8/2014"," 14.07000"," 1"," 8","2014"," 6","3","1","0"," 7.0"
"999999999","1/8/2014","106.02000"," 1"," 8","2014"," 7","3","1","1"," 8.1"
"999999999","1/8/2014","135.81000"," 1"," 8","2014"," 8","3","1","1","10.9"
"999999999","1/8/2014","142.21500"," 1"," 8","2014"," 9","3","1","1","14.0"
"999999999","1/8/2014","152.53500"," 1"," 8","2014","10","3","1","1","17.1"
"999999999","1/8/2014","101.20500"," 1"," 8","2014","11","3","1","1","19.9"
"999999999","1/8/2014"," 84.63000"," 1"," 8","2014","12","3","1","1","21.9"
"999999999","1/8/2014"," 77.29500"," 1"," 8","2014","13","3","1","1","21.0"
"999999999","1/8/2014"," 72.30000"," 1"," 8","2014","14","3","1","1","21.9"
"999999999","1/8/2014"," 40.65000"," 1"," 8","2014","15","3","1","1","21.0"
"999999999","1/8/2014","  0.03000"," 1"," 8","2014","16","3","1","1","19.9"
"999999999","1/8/2014","  0.03000"," 1"," 8","2014","17","3","1","1","19.9"
"999999999","1/8/2014","  0.03000"," 1"," 8","2014","18","3","1","1","19.9"
"999999999","1/8/2014","  0.03000"," 1"," 8","2014","19","3","1","1","19.0"
"999999999","1/8/2014","  0.03000"," 1"," 8","2014","20","3","1","0","19.0"
"999999999","1/8/2014","  0.03000"," 1"," 8","2014","21","3","1","0","19.0"
