zipcode,bedroom,bathroom,type,parking,24h-emergency/maintenance,GYM,AC,free-water,free-electricity,free-heat,dishwasher,microwave,washer-dryer,public-transportation,price
2108,1,1,2,1,1,1,1,1,0,1,1,1,1,1,2200
2108,2,1,4,0,0,0,0,1,0,1,1,1,2,1,1400
2108,2,2,2,2,1,1,1,1,0,1,1,1,1,2,5500
2108,2,2.5,2,2,1,1,1,1,0,1,1,1,1,2,7000
2108,2,2,2,2,0,0,1,1,0,1,1,1,2,1,1030
2108,2,2,2,2,1,0,1,1,0,1,1,1,1,1,6600
2108,1,1,3,2,0,0,0,1,0,1,0,0,2,1,1450
2108,1,1,2,0,0,0,0,1,0,1,1,0,1,1,3050
2108,1,1,2,0,0,0,0,1,0,1,1,0,1,1,3100
2108,1,1.5,2,1,1,1,1,1,0,1,1,1,1,1,4000
2108,2,2.5,2,1,1,1,1,1,0,1,1,1,1,1,6800
2108,1,1,2,1,1,1,1,1,0,1,1,1,2,1,2200
2108,2,1,4,0,0,0,0,1,0,1,0,1,1,1,1400
2108,2,3,3,2,0,0,0,1,0,1,1,0,1,1,6200
2108,1,1,2,2,0,0,0,1,0,1,1,0,2,1,2600
2108,2,1,3,0,0,0,0,1,0,1,1,1,2,1,2900
2108,1,1.5,3,1,1,1,1,1,1,1,1,1,1,1,4500
2108,1,1,1,0,0,0,1,1,0,1,1,0,2,1,2900
2109,1,1,2,1,1,1,1,1,0,1,1,1,1,1,3025
2109,2,2,2,1,1,1,1,1,0,1,1,1,1,1,4420
2109,1,1,2,1,1,1,1,1,0,1,1,1,1,1,3800
2109,2,1,2,1,1,1,1,1,0,1,1,1,1,1,4000
2109,1,1,2,1,1,1,1,1,0,1,1,1,1,1,2900
2109,1,1,2,1,1,1,1,1,0,1,1,1,1,1,3200
2109,2,2,2,1,1,1,1,1,0,1,1,1,1,1,3700
2109,2,1.5,2,2,0,1,1,1,0,1,1,1,1,2,3600
2109,2,1.5,2,2,0,1,1,1,0,1,1,1,1,2,3400
2109,1,1,2,0,0,0,0,1,0,1,0,1,2,1,1800
2109,1,1,2,2,0,0,1,1,0,1,0,1,1,1,3600
2109,2,2,2,0,0,0,1,1,0,1,1,1,1,1,4200
2109,2,1.5,2,0,0,0,1,1,0,1,1,0,2,1,2900
2109,2,1,2,2,0,0,0,1,0,1,1,0,2,1,2700
2109,1,1,3,2,0,0,0,1,0,1,1,1,2,1,2650
2109,2,1,2,2,0,0,0,1,0,1,1,1,1,1,3523
2109,1,1,2,2,0,0,0,1,0,1,1,0,2,1,3600
2109,2,1.5,2,0,0,1,1,1,1,1,1,1,2,1,3600
2109,2,1,2,1,0,1,1,1,1,1,1,1,2,1,3600
2109,1,1,2,1,0,1,1,1,1,1,1,1,2,1,2700
2110,1,1,3,1,1,1,1,1,0,1,1,1,1,1,3500
2110,2,1.5,3,1,1,1,1,1,0,1,1,1,1,1,4200
2110,2,2,3,1,1,1,1,1,0,1,1,1,1,1,4950
2110,1,1,3,1,1,1,1,1,0,1,1,1,1,1,2500
2110,2,2,3,1,1,1,1,1,0,1,1,1,1,1,4500
2110,1,1.5,2,2,1,1,1,1,0,1,1,1,1,2,4000
2110,2,2,2,2,1,1,1,1,0,1,1,1,1,2,11000
2110,1,1,2,2,1,1,1,1,0,1,1,1,1,2,4250
2110,1,1,2,2,1,1,1,1,0,1,1,1,1,2,4250
2110,2,2,2,2,1,1,1,1,0,1,1,1,1,2,4750
2110,1,1,2,2,1,1,1,1,0,1,1,1,1,2,4600
2110,2,2,2,2,0,0,1,1,0,1,1,1,1,1,4750
2110,1,1,2,2,0,0,1,1,0,1,1,1,1,1,2929
2110,1,1,2,2,0,0,1,1,0,1,1,1,1,1,3161
2110,2,1,2,2,0,0,1,1,0,1,1,1,1,1,4692
2110,3,2,2,2,0,0,1,1,0,1,1,1,1,1,7371
2110,1,1,2,1,0,0,1,1,0,1,1,1,1,1,3900
2110,1,1,2,1,0,0,1,1,0,1,1,1,1,1,3100
2110,2,1,2,1,0,0,1,1,0,1,1,1,1,1,4500
2110,3,2,2,1,0,0,1,1,0,1,1,1,1,1,6000
2111,1,1,2,1,0,1,1,1,0,1,1,0,1,1,2680
2111,1,1,2,1,0,1,1,1,0,1,1,0,1,1,3045
2111,1,1,2,1,0,1,1,1,0,1,1,0,1,1,3105
2111,1,1,2,1,0,1,1,1,0,1,1,0,1,1,3395
2111,1,1,2,1,0,1,1,1,0,1,1,0,1,1,3985
2111,2,2,2,1,0,1,1,1,0,1,1,0,1,1,4365
2111,2,2,2,1,0,1,1,1,0,1,1,0,1,1,4770
2111,3,2,2,1,0,1,1,1,0,1,1,0,1,1,6265
2111,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3530
2111,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4225
2111,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5450
2111,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5200
2111,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3522
2111,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3090
2111,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5380
2111,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5720
2111,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3250
2111,2,2.5,2,1,1,1,1,1,1,1,1,1,1,1,9500
2111,3,2,2,2,0,0,1,1,0,1,1,1,2,1,4550
2111,3,2,3,2,0,0,1,1,1,1,1,1,1,1,4700
2113,3,1,2,2,0,0,1,1,0,1,1,1,1,1,3965
2113,2,1,2,2,1,1,1,1,0,1,1,1,2,1,2750
2113,4,2,2,2,0,0,0,1,0,1,1,1,1,1,5000
2113,1,1,2,2,0,0,0,1,0,1,1,1,1,1,1650
2113,4,1.5,2,2,0,0,0,1,0,1,1,1,1,1,4000
2113,2,1,2,2,0,0,1,1,0,1,1,1,1,1,2600
2113,2,1,2,0,0,0,1,1,0,1,1,0,1,1,3000
2113,2,1.5,2,0,0,0,1,1,0,1,1,0,1,1,3000
2113,3,1.5,2,2,0,0,0,1,0,1,1,1,1,1,3850
2113,3,3,3,2,0,0,1,1,0,1,1,1,1,1,4400
2113,3,1,2,2,0,0,0,1,0,1,1,1,1,1,3900
2113,2,1.5,2,2,0,0,1,1,1,1,1,1,1,1,3200
2113,3,1.5,2,2,0,0,0,1,0,1,1,1,1,1,3750
2113,4,1,2,2,0,0,0,1,0,1,1,1,1,1,4000
2113,1,1,2,2,0,0,1,1,0,1,1,0,2,1,1595
2113,2,1,2,2,0,0,1,1,0,1,1,1,1,1,2800
2113,1,1,2,2,0,0,1,1,0,1,1,1,1,1,1000
2113,3,2,2,2,0,0,0,1,0,1,1,1,1,1,4500
2113,2,1,2,2,0,0,0,1,0,1,1,1,1,1,2500
